link,title,tags,score
"4622","Страница пользователя SO в резюме","<обсуждение><диалоги-о-работе>","38"
"7142","Прекратите редактировать мои «хрен» и «фиг»! >:(","<обсуждение><комментарии><нытьё>","38"
"3113","Некомпетентность при наличии репутации: отклонённая правка с новыми метками","<обсуждение><метки><отклонённые-правки>","30"
"3947","Очень хитрые вопрошающие","<обсуждение>","24"
"6229","Результаты выборов в модераторы 2017","<обсуждение><выборы><вехи>","23"
"5221","А можно ли парсить StackOverflow на русском?","<обсуждение><stackoverflow>","21"
"5361","Почему поменяли адрес меты?","<обсуждение>","19"
"3528","Отметка вопросов ""пустышек"", личный черный список","<обсуждение>","19"
"2904","IT-""жаргон"", околокомпьютерный диалект","<обсуждение><стиль><русский-язык>","19"
"2793","Составляем спинизы","<обсуждение><предложение><документация>","19"
"5115","Русское сообщество. Бессмыcленное и беспощадное","<предложение><вопросы><stackoverflow>","17"
"5672","Как лучше присоединять файлы?","<обсуждение>","16"
"6302","Аккумуляция знаний на SO самоответами","<обсуждение><самоответы>","16"
"3828","Актуальность общих языковых меток, на примере C++","<обсуждение><описание-метки>","16"
"3997","Какой [mint] должен стать основным?","<обсуждение><статус-завершено><синонимы-меток>","15"
"6022","Выборы модератора сообщества 2017","<поддержка><выборы>","15"
"6184","Неужели правки, противоречащие намерениям автора, бывают допустимы?","<обсуждение><правки>","14"
"6796","Как поблагодарить Stack Overflow пользователя за помощь в научной статье","<обсуждение>","14"
"5422","Отвечать интереснее, чем задавать вопросы?","<обсуждение>","14"
"3184","Как я могу посмотреть все вопросы, которые я отметил звездой?","<поддержка><избранное>","14"
"3389","Отклонение правок пользователем Max ZS","<обсуждение><отклонённые-правки>","13"
"3810","Атака клонов или одинаковые ответы","<обсуждение>","13"
"5855","Как на Stack Overflow борются с накручиванием репутации?","<поддержка><репутация>","13"
"6453","Html [option] - быть или не быть?","<обсуждение><статус-завершено><метки><синонимы-меток>","13"
"5488","Мы предпочитаем вопросы, на которые можно дать конкретные ответы, а не те, которые порождают дискуссию","<обсуждение><тематика><правила>","12"
"3846","Модератор удаляет описание","<обсуждение><дефект><статус-завершено><локализация>","12"
"4252","Использование меток [table], [таблица], [таблицы]. HTML <table>","<обсуждение><метки><удаление-метки><описание-метки><использование-метки>","12"
"3433","Способы обхода неоднозначных ограничений движка на Stack Overflow","<обсуждение><поддержка>","12"
"2405","Верно ли, что метка [ruby-on-rails] исключает [ruby]?","<обсуждение><использование-метки>","12"
"2583","Поможем коллегам сделать первый шаг к профессиональному росту","<обсуждение><реклама>","12"
"7483","Для чего нам [компоненты]? Объединить и удалить","<обсуждение><предложение><статус-завершено><синонимы-меток><удаление-метки>","12"
"3212","Должная судьба ответа в случае полной или частичной потери актуальности","<обсуждение><ответы>","11"
"3570","Ответ не является правильным?","<обсуждение>","11"
"5676","Мне кучу раз исправили мой пост, а затем вовсе заблокировали. Сделайте с этим беспределом что-нибудь!","<поддержка><правки><блокировка>","11"
"5262","Блокировка ценного участника сайта","<обсуждение><блокировка>","11"
"5273","Есть ли смысл сразу давать ответ на вопрос, или лучше подтолкнуть участника, который задал вопрос, к правильному ответу?","<обсуждение><ответы>","11"
"6801","Править или не править?","<обсуждение><дефект><предлагаемые-правки><правки>","11"
"5566","Как создать IT отдел","<обсуждение><диалоги-о-работе>","10"
"3571","Является ли ссылка на книгу ответом?","<обсуждение><ответы><ответ-ссылка>","10"
"3703","Отклоненная правка ответа. Правка добавляет снипет в ответ","<обсуждение><отклонённые-правки>","10"
"3499","Интерпретация php на сайтах stackoverflow.com","<предложение><сниппеты>","10"
"2556","Описание провала аудита... сбивает с толку","<обсуждение><дефект><статус-завершено><локализация><аудит>","10"
"7427","Почему нету сообщества ""математика на русском""","<обсуждение><предложение>","10"
"4426","Каково иметь большую репутацию?","<обсуждение><репутация>","9"
"4534","Информация к размышлению о деструктивном влиянии Stack Overflow","<обсуждение>","9"
"5474","Тревога со статусом ""устарел""","<поддержка><тревоги>","9"
"4684","Сделать ссылку ""начать конкурс"" более заметной","<обсуждение><предложение>","9"
"5892","Ответ требует правки связи с изменением стандарта","<предложение><предлагаемые-правки>","9"
"6002","Смешные правки от духа сообщества","<обсуждение><дух-сообщества><аудит>","8"
"4750","Перевод для ""XOXO""","<обсуждение><статус-завершено><локализация>","8"
"4814","Ассоциация ENSO Чей ответ отмечать, как верное решение","<обсуждение><ассоциация-вопросов><перевод-содержимого>","8"
"5063","Объединить синонимичные метки {""auth"", ""authentication"", ""аутентификация""}","<предложение><метки><синонимы-меток>","8"
"5079","Трагический конец жизни пакетов","<обсуждение><1-апреля>","8"
"5185","Продолжение обсуждения в чате для участников, которые там не могут писать","<предложение><репутация><комментарии><чат>","8"
"3725","Оформление. Назойливое выделение группы вопросов","<обсуждение>","8"
"3691","Присуждение награды за конкурсный вопрос с неправильным ответом","<обсуждение><дефект><статус-так-задумано><конкурс>","8"
"3654","Фраза о статистике редактора формируется без учёта пола","<дефект><локализация>","8"
"4396","Как бороться с любителями ""закрыть вопрос""?","<обсуждение><закрытие-вопросов>","7"
"2502","Что делать, если в принятых ответах есть ошибки?","<обсуждение><ответы><принятые-ответы>","7"
"2267","Появился фанат/фанатка. Что делать?","<поддержка><голоса-за>","7"
"4806","Новый дизайн нас тоже ждёт?","<поддержка><дизайн><нытьё>","7"
"5233","Размещение вакансий","<поддержка>","7"
"5291","Кто может быть ""владельцем"" чата, признанного общим?","<обсуждение><модерация><чат>","7"
"6164","Обязательно ли использовать все три голоса на выборах?","<поддержка><выборы>","7"
"5918","Вставка фрагмента кода в вопрос/ответ: не воспроизводится скрипт","<обсуждение><поддержка><ответы>","7"
"5949","328 символов из первой правки распространяются на все описания","<поддержка><правки>","7"
"6864","Давайте не будем сразу торопиться закрывать вопросы, которые могут иметь не одно решение?","<предложение>","7"
"6296","Насколько другим может быть русскоязычный Stack Overflow по отношению к англоязычному?","<обсуждение>","7"
"6762","Есть ли какие-либо способы заработка для пользователей в рамках данного сайта?","<обсуждение>","7"
"7290","Ограничение в модерации для попавших ранее под действие блокировки участников","<обсуждение><модерация><блокировка>","7"
"7131","Выделить отдельные темы для учебной литературы в формате видео","<обсуждение><учебные-материалы>","7"
"6795","Что делать, если коллеги, которые тоже члены SO, вынуждены использовать тот же компьютер?","<обсуждение><профиль-участника>","6"
"6935","О недружественности руcскоязычного StackOverflow","<обсуждение>","6"
"6483","Вопросы по организации чата по дискуссионному вопросу","<чат><обсуждение>","6"
"6243","Оформление сообщений","<обсуждение>","6"
"5889","Вопрос для начинающих содержит возможно вредоносную ссылку. Следует ли править, если не уверен?","<обсуждение><вопросы><спам>","6"
"2190","Новая эра сообщества: теперь без беты!","<поддержка><аттестация><вехи>","6"
"2212","Замена / синонимизация метки [sublime]","<предложение><статус-завершено><синонимы-меток><удаление-метки>","6"
"2568","Как реабилитироваться после бана?","<обсуждение><поддержка><блокировка>","6"
"2516","Почему отклонённая правка?","<обсуждение><отклонённые-правки>","6"
"3011","Виджет сайта работает не одинаково, в зависимости от ip","<дефект><статус-так-задумано>","6"
