link,title,tags,score
"478322","Как организовать работу с системами контроля версий для разработки нескольких проектов с общей основой?","<git><svn><контроль-версий>","28"
"581929","Код-гольф - Реализация алгоритма выборки комбинаций","<любой-язык><соревнование>","27"
"515898","Найти частичную сумму знакопеременного ряда с факториалом: sum (-1)^k (k + 1) / k!, k=0..n","<алгоритм><математика><любой-язык><соревнование><ряды>","23"
"556929","Работа серверного приложения","<php><node.js><многопоточность><веб-сервер><процесс>","21"
"508524","Хранится ли в конце string терминальный символ?","<c++>","19"
"662460","Почему `git commit --amend` создает новый коммит?","<git>","16"
"810626","Как устроены ключи шифрования Telegram?","<telegram>","15"
"521254","mc.yandex.ru - Что это?","<веб-программирование>","15"
"649810","В чем разница между Passenger, Puma, Webrick и др","<ruby-on-rails><nginx>","14"
"506520","HTML5 – это отдельный язык?","<html5>","14"
"711578","Длина строки в чистом C","<c>","14"
"521576","По каким причинам в Swift 3 будут удалены инкремент и декремент (++ и --)?","<ios><swift>","13"
"782714","Зачем нужны разные типы ссылок в Java?","<java>","12"
"505118","git push ошибка или как пушить origin/local_branch_name на сервер","<git><git-branch>","12"
"490068","Зачем в Java 2 интерфейса: Iterable и Iterator?","<java><ооп>","12"
"708827","Как сделать другой репозиторий ответвлением в текущем?","<git>","12"
"475025","Тернарный оператор","<c++><оптимизация>","12"
"762506","Нужно ли платить за используемые языки программирования?","<веб-программирование>","11"
"589918","GitHub: Разрешить push для репозитория","<git><github>","11"
"625405","Размер типа boolean","<java>","11"
"594956","Является ли перегрузка методов полиморфизмом?","<c#><.net><ооп><терминология>","11"
"728741","Почему пакеты в java принято называть в обратную сторону доменного имени?","<java><package>","10"
"594410","отличие require от require_relative","<ruby>","10"
"670003","Что такое тонкий враппер?","<классы><любой-язык><терминология>","10"
"525428","Haskell аппликативный или нормальный?","<haskell><sicp>","10"
"501557","Безопасность статического сайта","<безопасность>","9"
"763041","Неточный результат при вычислении числа Каталана","<python><python-3.x><числовые-последовательности>","9"
"584752","Как работает функция fork() в C. Не могу понять результат работы программы","<c><процесс>","9"
"477412","После diskpart clean флэшка не отображается в списке дисков","<windows><диск><diskpart>","9"
"501187","Как обрабатываются запросы к БД с несколькими условиями?","<mysql><sql>","8"
"520947","Код из звёздочек","<любой-язык><соревнование>","8"
"639436","You don't have write permissions for the /var/lib/gems/2.3.0 directory","<ruby><bundler>","8"
"501649","Промежуточная загрузка файла","<javascript><html5><файлы><загрузка>","8"
"553242","Нижнее подчеркивание ('_') в C++","<c++>","8"
"589967","Если поле PRIMARY KEY, то NOT NULL не нужен?","<mysql>","8"
"666938","Конвертировать ""#FF00FFFF"" в 0x00FFFFFF","<java><color><hex>","8"
"676220","Java - Тернарный оператор","<java><операторы>","8"
"543045","Audacity, вместо звука воспроизводится шипение и треск","<linux><аудио>","8"
"595157","Как работает mysql?","<mysql><sql>","8"
"551502","RabbitMQ несколько очередей на одного потребителя","<java><rabbitmq>","8"
"558376","Не могу понять задание","<алгоритм>","8"
"520556","Есть ли лицензия на ПО, которая будет распространять его как opensource, но запрещать использование в коммерческих целях?","<лицензирование>","7"
"787237","Можно ли создать свой локальный закрытый git репозиторий?","<git><github>","7"
"432368","Сортировка элементов в Ruby on Rails","<ruby-on-rails><ruby>","7"
